teamId,teamName,institution,isWomanOnly
1020592,SetBits111,"Ajay Kumar Garg Engineering College, Ghaziabad",false
1024488,__Infinity_ ,Army Institute of Technology,false
1024495,neela_hai_aasman,Army Institute of Technology,false
1024486,arrow_head_,Army Institute of Technology,false
1031352,211,Atal Bihari Vajpayee-Indian Institute of Information Technology and Management Gwalior,false
1020667,axa,Atal Bihari Vajpayee-Indian Institute of Information Technology and Management Gwalior,false
1027077,Byte Buddies,B. M. S. College of Engineering,false
1026493,SRS sus,"Birla Institute of Technology and Science, Pilani Campus",false
1026017,penalty_plus_plus,"Birla Institute of Technology and Science, Pilani Campus",false
1025071,MSB_overflow,"Birla Institute of Technology and Science, Pilani Campus",false
1022650,VON,"BITS-Pilani, Goa Campus",false
1022560,AAA_Battery,"BITS-Pilani, Goa Campus",false
1027032,JMD,"BITS-Pilani, Goa Campus",false
1026061,void *(*(*(**x[])())[])(),"BITS-Pilani, Hyderabad Campus",false
1033535,CodeCruXaders 2.0,"BITS-Pilani, Hyderabad Campus",false
1015430,Geeky Nerds,BML Munjal University,false
1014128,Velaris,"Bundelkhand Institute of Engineering &amp;amp; Technology, Jhansi",false
1023094,Compilation Error,Chandigarh University,false
1032395,TLE : Talent Limit Exceeded,Chandigarh University,false
1026972,Ice shard,Chennai Mathematical Institute,false
1020278,TLE_ka O(mlette),Chennai Mathematical Institute,false
1033388,intutive,Chitkara University,false
1015109,DhruvNnoobs,Datta Meghe College of Engineering,false
1008953,Chota Haathi,Delhi Skill and Entrepreneurship University Okhla-1,false
1023970,RRR,Delhi Technological University(Formerly DCE),false
1018275,The��Endgame,Delhi Technological University(Formerly DCE),false
1018252,bit_manipulators,Delhi Technological University(Formerly DCE),false
1019381,fafda,Dharmsinh Desai Institute of Technology,false
1021870,Silent 3lers,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",false
1021833,Chaotic Coders,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",false
1021894,Enigma,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",false
1024433,Wowwies,DJ Sanghvi College of Engineering,false
1032147,DP,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",false
1016342,Coding Pirates,"GLA University, Mathura",false
1020806,Lazy_Propagators,Government College of Engineering and Leather Technology,false
1025873,Proof by AC,Graphic Era Hill University,false
1020676,CodeSquad,Graphic Era Hill University,false
1025890,Inversions,Graphic Era Hill University,false
1020341,Hugs For Bugs,Graphic Era University,false
1020557,azinomoto,"Harcourt Butler Technical University, Kanpur",false
1020551,EMO,"Harcourt Butler Technical University, Kanpur",false
1027658,teamEmpower,"Harcourt Butler Technical University, Kanpur",false
1025977,TEAM_X,"Harcourt Butler Technical University, Kanpur",false
1026480,DistortedPrimes,IIT Bhubaneswar,false
1019855,Compile and Conquer,IIT Bhubaneswar,false
1016909,Fast and Fourier,IIT Bhubaneswar,false
1027318,ERROR404,"Indian Institute of Engineering Science and Technology, Shibpur",false
1026711,CodeForced,"Indian Institute of Engineering Science and Technology, Shibpur",false
1019075,LAL Fund,Indian Institute of Information Technology Allahabad ,false
1019490,GreedyGeeks,Indian Institute of Information Technology Allahabad ,false
1019489,Peaky Blinders,Indian Institute of Information Technology Allahabad ,false
1019499,Fake_Coders,Indian Institute of Information Technology Allahabad ,false
1027413,Infernus,"Indian Institute of Information Technology and Management, Gwalior",false
1018542,Loading...,"Indian Institute of Information Technology and Management, Gwalior",false
1015396,Levi Squad,"Indian Institute of Information Technology and Management, Gwalior",false
1019459,Lazy Propagators,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,false
1023476,TripleEyeTea_DMK,Indian Institute of Information Technology Design and manufacturing Kurnool,false
1028923,Algo Primes,Indian Institute of Information Technology Guwahati,false
1023843,TechnoTitans,Indian Institute of Information Technology Kota,false
1023876,AlphaQ,Indian Institute of Information Technology Kota,false
1018573,std::builtin_orz,Indian Institute of Information Technology Kottayam,false
1017491,binary_lifters,Indian Institute of Information Technology Kottayam,false
1018211,scoops troop,Indian Institute of Information Technology Nagpur,false
1021456,3+3>5,Indian Institute of Information Technology Nagpur,false
1025677,Exceptionals,Indian Institute of Information Technology Nagpur,false
1021004,Naam bade Darshan chote,Indian Institute of Information Technology Pune,false
1018571,CppOnly,Indian Institute of Information Technology Pune,false
1021619,Car Bhavani,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,false
1021621,TLE_Pretest11,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,false
1027489,Snack Overflow,Indian Institute of Information Technology Tiruchirappalli,false
1015625,BowBow,"Indian Institute of Information Technology, Lucknow",false
1014682,i?low,"Indian Institute of Information Technology, Lucknow",false
1014676,tourist_ka_baap,"Indian Institute of Information Technology, Lucknow",false
1014674,dp_lagega_kya?,"Indian Institute of Information Technology, Lucknow",false
1024482,Code Blooded,"Indian Institute of Information Technology, Sonepat",false
1027651,Bad Luck - 404,"Indian Institute of Information Technology, Sri City, Chittoor",false
1026048,mdspan,"Indian Institute of Information Technology, Sri City, Chittoor",false
1017636,SegThreee,"Indian Institute of Information Technology, Surat",false
1021455,chinki_shinki,"Indian Institute of Information Technology, Una",false
1033471,Forge,"Indian Institute of Information Technology, Una",false
1031749,HackstreetBoys,Indian Institute of Technology - Bombay,false
1021038,just_better,Indian Institute of Technology - Bombay,false
1019132,kabhikabhicpp,Indian Institute of Technology - Bombay,false
1022554,BitByBit,Indian Institute of Technology - Bombay,false
1026779,on_the_spectrum,Indian Institute of Technology - Delhi,false
1028287,Seg3,Indian Institute of Technology - Delhi,false
1025366,Laziest Propagators,Indian Institute of Technology - Delhi,false
1025325,mangal_daku,Indian Institute of Technology - Delhi,false
1025812,Void,Indian Institute of Technology - Guwahati,false
1027417,HSS433,Indian Institute of Technology - Guwahati,false
1027226,WA_addicts,Indian Institute of Technology - Guwahati,false
1027425,KalKeJuwari,Indian Institute of Technology - Guwahati,false
1026783,Guffawed,Indian Institute of Technology - Guwahati,false
1021857,ethOS,Indian Institute of Technology - Hyderabad,false
1021856,100sage,Indian Institute of Technology - Hyderabad,false
1021859,WeirdFishes,Indian Institute of Technology - Hyderabad,false
1008794,404_solution_not_found,Indian Institute of Technology - Indore,false
1017379,Yeagerists,Indian Institute of Technology - Indore,false
1014914,Bhakarwadi ,Indian Institute of Technology - Indore,false
1018794,segment_trACk,Indian Institute of Technology - Kanpur,false
1018584,using namespace icpc;,Indian Institute of Technology - Kanpur,false
1018834,Code_Dawgs,Indian Institute of Technology - Kanpur,false
1018829,Null Pointers,Indian Institute of Technology - Kanpur,false
1021199,HeheKyaHua,Indian Institute of Technology - Kharagpur,false
1021970,AlooParatha,Indian Institute of Technology - Kharagpur,false
1027686,ERRor not found,Indian Institute of Technology - Kharagpur,false
1033243,The Blasters,Indian Institute of Technology - Madras,false
1033247,Chaiitea,Indian Institute of Technology - Madras,false
1035639,Soup,Indian Institute of Technology - Madras,false
1022488,Wasted_apples,Indian Institute of Technology - Mandi,false
1026890,IPCC,Indian Institute of Technology - Patna,false
1025427,meow,Indian Institute of Technology - Patna,false
1022709,Team Teleforces,Indian Institute of Technology - Patna,false
1035378,Do chai ek coffee,Indian Institute of Technology - Patna,false
1034192,Placed,Indian Institute of Technology - Patna,false
1021929,hehe i do cp,Indian Institute of Technology - Roorkee,false
1022921,AamPanna,Indian Institute of Technology - Roorkee,false
1022175,bytemASKers,Indian Institute of Technology - Roorkee,false
1036060,Vector,Indian Institute of Technology - Roorkee,false
1022385,ThreeStacks,Indian Institute of Technology - Ropar,false
1022308,Equinox,Indian Institute of Technology - Ropar,false
1017627,Cheetah,Indian Institute of Technology - Ropar,false
1026411,Prefer Not To Say,Indian Institute of Technology - Varanasi,false
1025796,poocha kya,Indian Institute of Technology - Varanasi,false
1034180,NoIdea,Indian Institute of Technology - Varanasi,false
1024412,Tree-mendous Coders,Indian Institute of Technology - Varanasi,false
1023433,Adhoc,"Indian Institute of Technology (ISM), Dhanbad",false
1023300,ISeePSee,"Indian Institute of Technology (ISM), Dhanbad",false
1023462,While (Not Winning);,"Indian Institute of Technology (ISM), Dhanbad",false
1023480,3-STOOD,"Indian Institute of Technology (ISM), Dhanbad",false
1023296,"Nah, We'd Win","Indian Institute of Technology (ISM), Dhanbad",false
1033027,maniACs,Indian Institute of Technology Gandhinagar,false
1025182,way2AC,Indian Institute of Technology Gandhinagar,false
1026878,NUKE,Indian Institute of Technology Goa ,false
1020987,Oh Log N,Indian Institute Of Technology Jodhpur ,false
1022014,CrystaLMatH,Indian Institute Of Technology Jodhpur ,false
1021541,Coding Lobby,Indian Institute Of Technology Jodhpur ,false
1021966,Bug Busters,Indian Institute Of Technology Jodhpur ,false
1032779,EXCEPTION EXORCISTS,"Indian Institute of Technology, Tirupati",false
1032810,FFT IIITD,Indraprastha Institute of Information Technology Delhi,false
1032813,The Champ and the Sidekicks,Indraprastha Institute of Information Technology Delhi,false
1025859,Array of hope,Indraprastha Institute of Information Technology Delhi,false
1024233,Alien X ,"Institute of Engineering & Technology, Lucknow",false
1023192,Bugs sabke niklenge,"Institute of Engineering & Technology, Lucknow",false
1020802,DAM Aloo,International Institute of Information Technology - Bangalore,false
1020793,whitepilled again,International Institute of Information Technology - Bangalore,false
1020799,assert(rand()),International Institute of Information Technology - Bangalore,false
1020812,Zhakaas,International Institute of Information Technology - Bangalore,false
1007915,Retired_Retards,International Institute of Information Technology - Naya Raipur,false
1013610,VAT-Barriers,International Institute of Information Technology - Naya Raipur,false
1028453,SubtasksWhere,"International Institute of Information Technology, Hyderabad",false
1025759,CodeWIZ,"International Institute of Information Technology, Hyderabad",false
1027708,lazy three,"International Institute of Information Technology, Hyderabad",false
1025026,LockedIn,"International Institute of Information Technology, Hyderabad",false
1025731,NamePending,"International Institute of Information Technology, Hyderabad",false
1018866,PretestTwo,"Jadavpur University, Kolkata",false
1016649,takeabyte,"Jadavpur University, Kolkata",false
1009241,I_Love_36B_TTs,"Jadavpur University, Kolkata",false
1022074,The three tier coders,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology,false
1022473,Damodar,Jawaharlal Nehru University,false
1027650,Team 7,Jaypee Institute of Information Technology,false
1026815,BLWs,Jaypee Institute of Information Technology,false
1020713,Compiler Error,JIS University,false
1033780,Syntax_Squads,JSS Academy of Technical Education Noida,false
1023564,C0deBreakers,JSS Academy of Technical Education Noida,false
1029037,BinaryBrains 2.0,K L University,false
1032102,modulo_primes,Keshav Memorial Institute of Technology,false
1030654,5 candidate guardians,Keshav Memorial Institute of Technology,false
1031900,Pretesters,KIET GROUP OF INSTITUTIONS,false
1013972,Bitstorm,L. D. College of Engineering,false
1023054,TRIEfecta,M.S. Ramaiah Institute of Technology,false
1033409,BitByeBit,M.S. Ramaiah Institute of Technology,false
1020441,Code Busters,Madan Mohan Malaviya University of Technology-Gorakhpur,false
1027684,Runtimesleuths,Maharaja Agrasen Institute of Technology,false
1022698,Winwin03,Malviya National Institute of Technology Jaipur,false
1028182,69/70TestCasesPassed,"Manipal Institute of Technology, Manipal",false
1022797,Code_Crafters,Maulana Azad National Institute of Technology Bhopal,false
1033722,Mavericks45,"MIT Academy of Engineering, Alandi",false
1022747,Straw_hat_Pirates,Motilal Nehru National Institute of Technology - Allahabad,false
1022739,Ec_warriors,Motilal Nehru National Institute of Technology - Allahabad,false
1022740,SegmentThree,Motilal Nehru National Institute of Technology - Allahabad,false
1021045,1e9_plus_7,National Institute of Technology - Agartala,false
1023400,Algorithm Acharyas,National Institute of Technology - Agartala,false
1022907,Trie Harder,"National Institute of Technology Karnataka, Surathkul",false
1027295,8aByte,"National Institute of Technology Karnataka, Surathkul",false
1022908,Bipartite Boys,"National Institute of Technology Karnataka, Surathkul",false
1019215,Dynamights,National Institute of Technology Patna,false
1026004,descendants of Tourist,National Institute of Technology Rourkela,false
1014243,IcyPeasy,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,false
1018488,Cheta3Tea,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,false
1025927,echo CP,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,false
1031619,Goblin Barrel,"National Institute of Technology, Calicut",false
1031622,Debugging ducks,"National Institute of Technology, Calicut",false
1031777,Triple_S,"National Institute of Technology, Durgapur",false
1020659,Mamba_Out,"National Institute of Technology, Hamirpur",false
1019987,Bholenath Bhakt,"National Institute of Technology, Jamshedpur",false
1019985,Tripod,"National Institute of Technology, Jamshedpur",false
1014584,VoidORNullBack,"National Institute of Technology, Kurukshetra",false
1019387,The Forkers,"National Institute of Technology, Raipur",false
1023773,owo,"National Institute of Technology, Raipur",false
1032927,Dead_lock,"National Institute of Technology, Silchar",false
1017579,ICPCmaxxing,"National Institute of Technology, Silchar",false
1031653,Sudo Delete Bios,"National Institute of Technology, Warangal",false
1027556,Stardust Crusaders,"National Institute of Technology, Warangal",false
1027234,ITNS,Netaji Subhash University Of Technology,false
1031855,op-team-ized,Netaji Subhash University Of Technology,false
1024901,Primary_key,Netaji Subhash University Of Technology,false
1022470,We_only_know_BruteForce,Nirma University,false
1024202,Phantom_Beasts,Nirma University,false
1022770,Probabilistic Losers,Nirma University,false
1022761,PersistentTriersUnofficial2.0,Nirma University,false
1023143,Binary Coders,"P.E.S. College of Engineering, Mandya",false
1031141,XoRiers,Pandit Deendayal Energy University,false
1018458,TreepyTreaps,Pandit Deendayal Energy University,false
1025602,CODEGEEKS,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur",false
1011116,BLE,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur",false
1027027,__O(3)__,"Pimpri Chinchwad College Of Engineering and Research, Pune",false
1010859,AuraBits,PSG Institute of Technology and Applied Research,false
1027949,HardStuckBlues,Pune Institute of Computer Technology,false
1028789,SweetCODE,Rajiv Gandhi Institute Of Petroleum Technology,false
1021733,RGUKT-B,"Rajiv Gandhi University of Knowledge Technologies, Basar",false
1020872,Hetro Sapiens,Rishihood University,false
1031026,System Reboot,RNS Institute of Technology,false
1009162,Ctrl+Alt+Defeat,"RV Institute of Technology and Management, Bangalore",false
1029304,Spit&Swallow,Sardar Patel Institute of Technology,false
1024657,The Windblown,Sardar Patel Institute of Technology,false
1019169,whoCares,Sardar Vallabhbhai National Institute of Technology,false
1024701,Haigure Haigure,Scaler School of Technology,false
1025196,Queue Underflow,Scaler School of Technology,false
1024445,GigaByteMe,"School of Engineering and Applied Science, Ahmedabad University",false
1027081,AlgoARP,Shiv Nadar University Chennai,false
1034784,allwayBlue,Shri Govindram Seksaria Institute of Technology and Science,false
1020301,Cache us if you can,Sri Sivasubramaniya Nadar College of Engineering,false
1019924,Three,Techno Main Salt Lake (formerly known as Techno India Salt Lake),false
1013214,Segmentation Assault,Thadomal Shahani Engineering College,false
1017578,Outlaws,Thapar Institute of Engineering & Technology,false
1032848,Code Alchemy,Thapar Institute of Engineering & Technology,false
1021532,MonkeBrains,The LNM Institute of Information Technology ,false
1020816,Logic Builders,"University of Engineering & Management, Kolkata",false
1027127,Hope_is_hard,Veermata Jijabai Technological Institute,false
1021257,Null Ptrs,Veermata Jijabai Technological Institute,false
1021484,jKLMn,Veermata Jijabai Technological Institute,false
1022651,Ternary,Vellore Institute of Technology,false
1016329,Fullmetal Coders,"Vellore Institute of Technology, Bhopal",false
1032145,ToBeDecided,"Vellore Institute of Technology, Bhopal",false
1022151,TLE_gives_tears,"Vellore Institute of Technology, Chennai",false
1022159,BoaConstructors,"Vellore Institute of Technology, Chennai",false
1030656,bug_bounty,"Vellore Institute of Technology, Chennai",false
1030030,Nip Pulse,Vishwakarma Institute of Technology,false
1019420,Verbatim,Vishwakarma Institute of Technology,false
1021558,Spec 3,"Visvesvaraya National Institute of Technology, Nagpur",false
1021609,Team 07,"Visvesvaraya National Institute of Technology, Nagpur",false
1025052,StrawHatz,VNR Vignana Jyothi Institute of Engineering & Technology,false
1008697,Wrong Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology,false
1012220,Lazy Coders,"Walchand College of Engineering, Sangli",false
1024411,Koders Klub,"Walchand College of Engineering, Sangli",false
1019138,Ymca_bhediyas,"YMCA University of Science and Technology, Faridabad",false
1029485,mas00m pupils,"YMCA University of Science and Technology, Faridabad"
,,
,,
,ICPC Selected Teams for Amritapuri Regionals 2024 (Women Only),
1017513,Code Chicks,Anil Neerukonda Institute of Technology and Sciences,true
1028681,O(R^2*T),Indian Institute of Technology - Guwahati,true
1031644,byte_sized_dreamers,Indian Institute of Technology - Roorkee,true
1035995,random(3),Indian Institute of Technology - Ropar,true
1028322,Placeholder,Indian Institute of Technology - Varanasi,true
1032146,Auditpass,Indira Gandhi Delhi Technical University for Women,true
1030795,gotta_WA_em_all,International Institute of Information Technology - Naya Raipur,true
1032792,CodingQueen,National Institute of Technology Hamirpur,true
1032910,Tapu_Sena,"National Institute of Technology, Silchar",true
1035794,Blaze,Rajkiya Engineering College Mainpuri,true
,,
,,
"Disclaimer: This team list is provisional and subject to change. As we continue to check for plagiarism, teams found guilty of plagiarism will be removed, while those cleared may be reinstated.",,